Trap,long_fp_Cflux,short_fp_Cflux,salp_fp_Cflux,mini_fp_Cflux,phytoplankton_Cflux,rhizaria_Cflux,agg_Cflux,dense_Cflux,large_fp_Cflux
RR1,1.59369594,0.0059812,0.835655421,0.097369252,0.006106053,0.000506152,0.136502549,0.050767458,0.013299642
RR10,0.04419049,0.017996116,0.629956524,0.0526468,0.004437381,0.001157853,0.077003957,0.022256798,0.004965929
RR11,0.063624962,0.007158577,1.82486904,0.009787436,0.008176626,0.010893701,0.070019438,0.01634878,0.002815817
RR23,0.865528637,0.009104381,0.000226025,0.167078812,0.010177493,0.034622168,0.260381319,0.038255601,0.008121613
RR24,0.170933565,0.028785292,0.000639296,0.142150945,0.003021667,0.042809503,0.150762545,0.050220044,0.001626825
RR25,0.049817795,0.043151919,0,0.100302062,0.007732699,0.072651516,0.07875383,0.016941017,0.000330618
RR26,0.028100254,0.027579446,0,0.016572472,0.005774855,0.021612135,0.037552455,0.052697782,0.002356748
RR27,0.048638449,0.069734128,0.003706814,0.025316809,0.010641844,0.040765387,0.079513218,0.062948508,0.005482581
RR28,0.294061629,0.010881705,0,0.05173726,0.001789785,0.001046652,0.068992943,0.017470917,0.004219361
RR29,0.280615777,0.004579257,0,0.035495443,0.002912006,0,0.050892679,0.040907573,0.002351025
RR30,0.088040232,0.013252453,0,0.065560834,0.00069935,0.11321629,0.068106878,0.020518294,0.002808346
RR31,0.041517241,0.01595855,0,0.072504889,0,2.41E-05,0.058036831,0.01336473,0.001742746
RR32,0.02047291,0.001140848,0,0.057740862,0.007688306,0.000588455,0.07240245,0.023435498,0.004494566
RR33,0.032903103,0.003670816,0.019566581,0.032340126,0.021477362,0.006489607,0.017232767,0.01317648,0.000141089
RR4,0.085923423,0.009241398,1.019354022,0.02991878,0.015650611,0.042307451,0.080921823,0.035664844,0.001570711
RR5,0.166853229,0.02236525,0.49539202,0.016862209,0.015191675,0.050268887,0.046862588,0.056178153,0.006604916
RR53,1.562385496,0.012419066,1.195822394,0.05733584,0.016959084,0.009307773,0.309351346,0.053585786,0.01173015
RR54,1.737288256,0.022586162,0.009071592,0.069540471,0.000443931,0.004698388,0.159344659,0.060276863,0.033472994
RR55,0.193169074,0.017988032,0,0.119234418,0.002352671,0.006669147,0.12859866,0.024689223,0.004424661
RR56,0.024646395,0.003312508,0,0.003946918,0.000713379,0.013147468,0.069926,0.008756133,0.000696263
RR57,0.05130354,0.01340388,0,0.023674364,0.005979992,0.322224646,0.038346042,0.023157073,0.003357649
RR58,2.792141778,0.023651895,0.131448253,0.125496271,0.008483318,0.014289551,0.406362763,0.122287836,0.034072863
RR59,0.357230828,0.030823816,0.337132687,0.133091102,0.003406524,0.051836194,0.311032117,0.06049503,0.022645493
RR6,1.257384704,0.005117254,0.944981121,0.066504874,0.00404935,0.000224256,0.120564065,0.051906897,0.008271215
RR60,0.06274155,0.015449181,0.013896348,0.089299864,0.001477202,0.055022231,0.185660147,0.028350859,0.006996842
RR61,0.030689643,0.026675678,0.593943073,0.037697441,0.00447145,0.073514074,0.056110109,0.039520869,0.001736063
RR62,0.195672018,0.031301975,0.365000293,0.016047584,0.01044127,0.044971789,0.064832934,0.056428172,0.008568215
RR7,0.63363506,0.001185614,2.166359632,0.047638882,0.00634429,0.000514143,0.103463677,0.034969461,0.005616264
RR8,0.046207649,0.009060833,0.004439992,0.118224329,0,0.00154268,0.065890549,0.070245584,0.011276866
RR9,0.048215311,0.003217345,2.831375448,0.038098122,0.017272729,0.019797994,0.070777075,0.03409769,0.011872143
