,Unnamed: 0,RR1,RR4,RR5,RR6,RR7,RR8,RR9,RR10,RR11,RR23,RR24,RR25,RR26,RR27,RR28,RR29,RR30,RR31,RR32,RR33,RR53,RR54,RR55,RR56,RR57,RR58,RR59,RR60,RR61,RR62,group,group1,Category,Infrakingdom,Phylum,Class,Order_Suborder,Subphylum,Order,Family
0,6,14159.29204,14159.29204,14159.29204,0,0,0,0,0,0,9216.589862,0,0,0,0,0,0,0,0,0,0,0,0,0,9982.668979,0,0,0,0,0,0,Ciliate,Tintinnid,Tintinnid_A,,,,,,,
1,7,0,0,0,0,0,0,0,0,0,9216.589862,0,0,0,0,0,0,0,0,0,9803.921569,10000,0,0,0,0,0,0,0,0,0,Ciliate,Tintinnid,Tintinnid_Dictyocysta,,,,,,,
2,8,0,0,141592.9204,1179797.98,1140495.868,0,42553.19149,100840.3361,15180.26565,368663.5945,55299.53917,46082.94931,2396313.364,0,2594249.201,191693.2907,1436532.508,0,0,29411.76471,10000,40851.06383,0,0,32133.89121,14996.09477,157458.9951,37490.23692,14204.68557,352408.227,Coccolithophore,Coccolithophore,Emiliania_(A),,,,,,,
3,9,0,0,0,24242.42424,66115.70248,0,0,0,0,9216.589862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22494.14215,0,0,0,Coccolithophore,Coccolithophore,Helicosphaera_(B),,,,,,,
4,10,70796.46018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Coccolithophore,Coccolithophore,Rhabdosphaera,,,,,,,
5,11,0,0,49557.52212,0,0,0,0,0,0,0,0,18433.17972,0,18433.17972,0,0,12383.90093,0,0,19607.84314,0,0,0,0,0,0,0,0,0,14996.09477,Diatom,Diatom,Chaetocerous,,,,,,,
6,12,0,0,0,0,0,0,8510.638298,0,0,9216.589862,9216.589862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7498.047384,0,0,0,Diatom,Diatom,Corethron,,,,,,,
7,13,21238.93805,0,14159.29204,40404.0404,0,25586.35394,0,33613.44538,7590.132827,27649.76959,9216.589862,18433.17972,18433.17972,9216.589862,0,0,0,0,0,19607.84314,0,0,0,0,16066.94561,0,29992.18954,7498.047384,0,0,Diatom,Diatom,Coscinodiscus,,,,,,,
8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diatom,Diatom,Eucampia,,,,,,,
9,15,0,0,587610.6195,202020.202,190082.6446,0,102127.6596,16806.72269,592030.3605,175115.2074,18433.17972,1391705.069,5741935.484,5032258.065,485623.0032,178913.738,1052631.579,483660.1307,1414285.714,1098039.216,130000,91914.89361,0,79861.35183,273138.0753,727310.5962,89976.56861,89976.56861,2656276.202,7228117.678,Diatom,Diatom,Fragilariopsis,,,,,,,
