Infrakingdom,Phylum,Subphylum,Class,Order,Family,Category,RR1,RR4,RR5,RR6,RR7,RR8,RR9,RR10,RR11,RR23,RR24,RR25,RR26,RR27,RR28,RR29,RR30,RR31,RR32,RR33,RR53,RR54,RR55,RR56,RR57,RR58,RR59,RR60,RR61,RR62
metadata,metadata,metadata,metadata,metadata,metadata,Fields,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
metadata,metadata,metadata,metadata,metadata,metadata,m2perfield,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113
metadata,metadata,metadata,metadata,metadata,metadata,Elapsed_Time_(days),5.65,5.65,5.65,4.95,4.84,4.69,4.7,4.76,5.27,4.34,4.34,4.34,4.34,4.34,3.13,3.13,3.23,3.06,2.8,4.08,4,3.916666667,4.145833333,4.006944444,4.979166667,5.334722222,5.334722222,5.334722222,5.631944444,5.334722222
metadata,metadata,metadata,metadata,metadata,metadata,True_Depth_(m),95,330,500,96.2,97.2,159,209,207,342,105,155,205,340,510,101,103,152,199,203,337,104,104,147,198,334,105,155,205,340,510
metadata,metadata,metadata,metadata,metadata,metadata,Trap_Type,STT,STT,STT,NBST,NBST,NBST,NBST,NBST,NBST,STT,STT,STT,STT,STT,NBST,NBST,NBST,NBST,NBST,NBST,NBST,NBST,NBST,NBST,NBST,STT,STT,STT,STT,STT
metadata,metadata,metadata,metadata,metadata,metadata,Epoch,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
Rhizaria,Cercozoa,na,Phaeodaria,Phaeocalpida,Castanellidae_i,i,1,17,21,0,1,0,0,4,5,0,3,6,4,4,0,0,0,1,5,0,0,0,1,0,0,3,8,3,15,31
Rhizaria,Cercozoa,na,Phaeodaria,Phaeosphaera,Aulosphaeridae_iii,iii,0,1,5,0,0,1,2,0,3,2,2,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0
Rhizaria,Cercozoa,na,Phaeodaria,Phaeosphaera,Aulosphaeridae_iv,iv,0,4,6,0,0,0,0,0,3,0,1,10,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0
Rhizaria,Cercozoa,na,Phaeodaria,Phaeosphaera,Cannosphaeridae_v,v,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rhizaria,Cercozoa,na,Phaeodaria,Phaeosphaera,Aulosphaeridae_vi,vi,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Rhizaria,Cercozoa,na,Phaeodaria,Phaeosphaera,Aulosphaeridae_vii,vii,0,1,1,0,0,0,0,0,0,0,2,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,1
Rhizaria,Cercozoa,na,Phaeodaria,Phaeodendrida,Coelodendridae_viii,viii,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
Rhizaria,Radiozoa,Radiolaria,Polycystina,Phaeodendrida,Coelodendridae,ix,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhizaria,Radiozoa,na,Phaeodaria,Phaeocystida,Aulocanthidae(red),xi,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,1,6,111,2
Rhizaria,Radiozoa,Radiolaria,Polycystina,Nasselaria(subord),Litharachnium sp.,xii,0,3,1,6,0,0,0,0,0,1,1,0,3,1,2,0,0,1,0,0,4,0,0,0,0,0,0,0,11,0
Rhizaria,Radiozoa,Acantharia,Acantharia,Acantharia,Acantharia,xiv,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
Rhizaria,Radiozoa,Radiolaria,Polycystina,Spumellaria(subord),Cladococcus_Lg,xv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,31,28,8,15,16,19,0,0,0
Rhizaria,Radiozoa,Radiolaria,Polycystina,Spumellaria(subord),mystery,xvii,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,10,0,0,0,0,32,39,0,5
Rhizaria,Cercozoa,na,Phaeodaria,Phaeocalpida,Tuscaroridae?,xviii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
